text,label
帮我看看时间,0
麻烦现在几点了,0
能告诉我时间吗吧,0
能告诉我时间吗哦,0
现在具体时间哦,0
帮我几点了,0
能否现在准确时间,0
现在具体时间吧,0
你能告诉我时间吗,0
请告诉我现在具体时间,0
现在时间啊,0
能否现在时间,0
请问时间啊,0
现在几点了,0
现在准确时间啊,0
请问现在准确时间,0
请问当前时间是多少,0
现在具体时间,0
当前时间是多少吧,0
当前时间是多少啦,0
我想知道几点了,0
我可以问当前时间吗,0
你能问一下时间吗,0
我想知道现在时间,0
现在准确时间哦,0
现在时间哦,0
请问时间呢,0
可以告诉我现在具体时间,0
请告诉我现在时间,0
可以告诉我请问时间,0
我想知道现在准确时间,0
能告诉我时间吗啊,0
现在几点了吧,0
你现在可以得到确切的时间吗,0
现在要帮助我确切的时间,0
几点了呢,0
请告诉我现在准确时间,0
现在时间呢,0
请问几点了,0
请告诉我能告诉我时间吗,0
现在具体时间啦,0
我想知道请问时间,0
麻烦当前时间是多少,0
当前时间是多少呢,0
请问请问时间,0
请告诉我几点了,0
我想知道现在具体时间,0
我想知道当前时间是多少,0
请检查我的时间,0
请问能告诉我时间吗,0
现在几点了哦,0
能否能告诉我时间吗,0
能否现在具体时间,0
可以告诉我当前时间是多少,0
现在具体时间呢,0
能否现在几点了,0
麻烦请问时间,0
当前时间是多少哦,0
帮我现在具体时间,0
现在时间,0
麻烦现在时间,0
我想知道帮我看看时间,0
麻烦现在具体时间,0
现在是确切的时间,0
现在几点了啦,0
现在时间啦,0
现在准确时间啦,0
可以告诉我现在准确时间,0
可以告诉我现在几点了,0
可以告诉我现在时间,0
请告诉我当前时间是多少,0
现在准确时间吧,0
能告诉我时间吗啦,0
请问时间哦,0
帮我能告诉我时间吗,0
帮我请问时间,0
现在时间吧,0
几点了啊,0
请问现在时间,0
能告诉我时间吗呢,0
帮我现在准确时间,0
现在几点了,0
现在时间了,0
现在日期了,0
现在星期了,0
现在月份了,0
现在年份了,0
现在周末了,0
请问几点,0
请问时间,0
请问日期,0
请问星期,0
请问月份,0
请问年份,0
请问周末,0
帮我看看几点,0
帮我看看时间,0
帮我看看日期,0
帮我看看星期,0
帮我看看月份,0
帮我看看年份,0
帮我看看周末,0
我想知道几点,0
我想知道时间,0
我想知道日期,0
我想知道星期,0
我想知道月份,0
我想知道年份,0
我想知道周末,0
能否告诉我几点,0
能否告诉我时间,0
能否告诉我日期,0
能否告诉我星期,0
能否告诉我月份,0
能否告诉我年份,0
能否告诉我周末,0
麻烦查询几点,0
麻烦查询时间,0
麻烦查询日期,0
麻烦查询星期,0
麻烦查询月份,0
麻烦查询年份,0
麻烦查询周末,0
几点是什么时候,0
时间是什么时候,0
日期是什么时候,0
星期是什么时候,0
月份是什么时候,0
年份是什么时候,0
周末是什么时候,0
几点的具体时间,0
时间的具体时间,0
日期的具体时间,0
星期的具体时间,0
月份的具体时间,0
年份的具体时间,0
季节的具体时间,0
节日的具体时间,0
上午的具体时间,0
下午的具体时间,0
晚上的具体时间,0
凌晨的具体时间,0
中午的具体时间,0
傍晚的具体时间,0
凌晨的具体时间,0
午夜的具体时间,0
工作日的具体时间,0
周末的具体时间,0
假期的具体时间,0
开学的具体时间,0
放假的具体时间,0
几点的准确时间,0
时间的准确时间,0
日期的准确时间,0
星期的准确时间,0
月份的准确时间,0
年份的准确时间,0
季节的准确时间,0
节日的准确时间,0
上午的准确时间,0
下午的准确时间,0
晚上的准确时间,0
凌晨的准确时间,0
中午的准确时间,0
傍晚的准确时间,0
凌晨的准确时间,0
午夜的准确时间,0
工作日的准确时间,0
周末的准确时间,0
假期的准确时间,0
开学的准确时间,0
放假的准确时间,0
几点的时间点,0
时间的时间点,0
日期的时间点,0
星期的时间点,0
月份的时间点,0
年份的时间点,0
季节的时间点,0
节日的时间点,0
上午的时间点,0
下午的时间点,0
晚上的时间点,0
凌晨的时间点,0
中午的时间点,0
傍晚的时间点,0
凌晨的时间点,0
午夜的时间点,0
工作日的时间点,0
周末的时间点,0
假期的时间点,0
开学的时间点,0
放假的时间点,0
下午的具体时间,0
现在时间啦,0
能否告诉我月份,0
中午的具体时间,0
日期的准确时间,0
帮我看看时间,0
现在时间哦,0
热点新闻啊,1
帮我看看房产的新闻,1
最近环保有什么消息,1
有什么新闻啦,1
麻烦查询社会的报道,1
最近医疗有什么消息,1
有什么房产新闻,1
有什么交通新闻,1
热点新闻吧,1
请问今日新闻,1
麻烦最近有什么新闻,1
请询问新闻头条,1
科技的热点话题,1
很重要的新闻吗,1
请问帮我查下新闻,1
我可以问今天的新闻吗,1
政治的新闻资讯,1
帮助我重要的新闻,1
文化的新闻资讯,1
最新新闻,1
最近体育有什么消息,1
有什么国际新闻,1
帮我看看旅游的新闻,1
麻烦今日新闻,1
医疗的最新消息,1
帮我看看医疗的新闻,1
我想了解政治的最新情况,1
娱乐的新闻资讯,1
新闻头条啦,1
请告诉我最新消息,1
最新消息啦,1
我想知道新闻头条,1
我想知道最新新闻,1
帮我看看社会的新闻,1
帮助我最近的一些新闻,1
政治的热点话题,1
房产的新闻资讯,1
帮我今日新闻,1
房产的最新消息,1
有什么娱乐新闻,1
科技的最新消息,1
可以告诉我新闻头条,1
麻烦查询军事的报道,1
帮我新闻头条,1
最近文化有什么消息,1
有什么新闻呢,1
有什么社会新闻,1
帮我看看健康的新闻,1
新闻头条吧,1
体育的热点话题,1
军事的热点话题,1
最新消息啊,1
我想了解国际的最新情况,1
最近有什么新闻呢,1
健康的热点话题,1
请问热点新闻,1
麻烦查询国内的报道,1
有什么国内新闻,1
我想了解教育的最新情况,1
交通的热点话题,1
我想了解房产的最新情况,1
能否帮我查下新闻,1
